expedition_duration_days,personnel_count,cargo_weight_kg,medical_supply_level,food_supply_level,fuel_supply_level,equipment_availability,temperature,wind_speed,visibility,distance_from_base_km,communication_status,vehicle_status,emergency_history,inventory_shortage_count,personnel_movement_deviation,previous_incidents,weather_risk_score,risk_score_continuous,risk_level
64,21,465.6,94.8,43.1,15.6,87.0,-16.0,6.2,19.98,340.2,38.0,58.5,1,1,3.55,2,13.8,0.3899,LOW
19,5,2874.7,9.2,29.9,82.3,67.2,-31.5,65.3,18.3,102.8,86.4,53.8,0,0,6.75,0,47.9,0.3909,LOW
102,22,590.1,32.6,76.3,74.4,36.3,-12.3,59.5,11.74,416.0,3.2,48.4,0,1,10.66,0,40.1,0.4483,MEDIUM
57,21,713.4,23.5,24.5,94.9,2.0,-6.0,95.2,4.44,574.0,34.7,66.4,0,2,4.29,0,57.1,0.4298,MEDIUM
63,35,980.3,39.3,8.5,97.9,5.9,-36.8,90.6,5.61,609.9,85.5,85.2,1,0,3.01,2,76.5,0.4782,MEDIUM
48,30,1658.8,74.2,41.4,89.3,35.2,4.6,74.9,9.05,835.6,90.1,16.2,1,2,1.73,2,39.9,0.4489,MEDIUM
26,11,2666.1,47.4,77.3,13.3,46.2,-0.5,1.9,6.52,541.4,75.6,81.4,0,1,28.61,0,17.9,0.431,MEDIUM
112,9,2317.6,57.1,85.1,87.8,16.7,-25.9,48.0,0.52,223.7,67.0,6.1,0,1,13.63,0,60.0,0.4307,MEDIUM
95,26,2168.2,31.4,73.3,83.9,18.9,-11.6,89.6,13.16,261.7,81.6,48.2,1,1,5.32,1,48.3,0.4294,MEDIUM
79,5,649.3,14.1,55.8,87.1,23.0,-23.6,43.4,12.31,100.8,70.8,51.1,1,0,14.12,0,42.0,0.5206,HIGH
51,15,1169.4,26.7,72.4,15.2,78.1,-9.3,96.2,18.1,735.9,25.4,19.8,0,0,10.58,0,42.8,0.4869,MEDIUM
100,9,1513.5,86.0,68.1,11.7,77.1,-5.4,65.2,9.59,105.9,46.6,9.0,0,0,17.19,0,39.8,0.4309,MEDIUM
68,4,570.2,60.2,23.4,92.4,38.3,-53.6,10.9,6.96,605.8,66.1,7.5,0,2,8.74,0,59.1,0.6777,HIGH
56,37,929.3,37.8,55.1,17.4,17.2,-50.3,50.9,10.28,596.9,58.8,3.7,0,0,19.36,1,66.5,0.5698,HIGH
57,7,1028.7,79.0,77.1,36.9,11.1,-34.8,69.6,3.97,785.5,88.5,57.4,0,1,6.0,0,69.7,0.4216,LOW
31,4,512.7,6.4,31.7,45.6,8.7,0.1,6.5,12.55,74.6,47.4,15.5,1,1,12.01,3,11.6,0.5382,HIGH
15,38,1718.2,25.4,65.4,12.4,39.1,-31.1,34.5,15.42,202.9,17.8,80.9,0,2,18.53,1,40.4,0.5458,HIGH
69,10,2159.3,23.0,48.1,2.1,4.6,-1.7,71.7,3.15,909.6,21.5,89.9,1,6,12.45,0,47.4,0.7,HIGH
107,34,349.3,98.5,50.3,99.4,33.4,-27.3,15.7,6.44,572.2,84.6,29.2,0,0,34.58,1,42.3,0.4498,MEDIUM
12,5,1521.2,70.6,9.0,87.7,96.2,-37.7,34.8,17.37,457.7,0.9,16.4,0,2,16.96,1,42.9,0.6228,HIGH
104,9,2379.3,61.8,66.6,91.2,50.8,-1.0,69.0,10.16,747.7,86.9,41.0,0,0,13.95,0,37.2,0.4211,LOW
101,8,2281.8,0.5,86.6,28.5,82.3,-21.4,77.6,10.68,902.5,5.6,88.2,0,0,7.78,1,54.4,0.5384,HIGH
37,30,2473.0,18.4,14.1,22.0,12.9,-33.4,51.9,14.48,263.0,39.2,40.0,1,1,12.2,0,49.4,0.5125,HIGH
78,26,1427.5,63.6,36.6,42.6,26.8,-52.3,95.7,11.6,901.5,80.0,10.8,0,0,23.25,1,82.0,0.5934,HIGH
24,21,2488.6,38.0,4.9,45.3,94.7,-48.3,92.5,1.48,108.7,40.8,98.5,0,0,7.0,0,90.7,0.4083,LOW
92,12,836.1,92.4,3.0,0.6,38.4,-46.6,47.3,16.1,977.7,82.2,50.0,1,1,4.84,1,55.3,0.6068,HIGH
86,7,1178.3,76.5,99.0,77.9,64.8,-33.1,16.0,18.46,164.9,10.0,34.2,0,0,7.03,0,31.6,0.3611,LOW
46,25,652.6,44.7,49.3,99.7,97.6,-18.6,77.3,1.16,266.2,51.2,89.4,0,1,6.73,0,64.1,0.504,MEDIUM
12,12,1482.3,75.0,35.6,52.9,55.1,-36.5,24.3,2.51,96.6,58.2,92.7,1,0,15.35,0,56.9,0.5081,MEDIUM
117,25,1267.4,97.5,27.5,38.8,30.5,-51.1,84.3,14.07,803.7,89.1,49.7,0,1,31.92,1,74.1,0.4842,MEDIUM
56,29,836.6,46.1,98.0,39.3,53.2,-39.1,58.7,12.13,984.2,9.4,30.7,0,0,2.57,1,58.8,0.5122,HIGH
108,35,2292.6,64.3,25.2,9.6,5.5,-30.5,39.4,7.71,297.0,33.9,48.3,0,2,10.81,0,51.3,0.4163,LOW
83,22,1044.5,91.9,72.6,26.6,11.2,4.5,55.6,10.83,325.6,65.9,21.9,0,0,4.31,1,30.9,0.2785,LOW
95,4,927.5,24.9,28.4,50.2,0.7,-31.4,53.3,14.1,279.0,98.0,47.8,0,1,13.27,0,48.9,0.4151,LOW
93,14,523.0,88.7,7.0,43.2,88.4,-49.6,92.5,10.14,154.8,84.8,22.9,1,3,14.42,2,80.8,0.454,MEDIUM
27,35,1400.6,9.8,68.3,54.5,67.1,-20.1,21.4,2.89,787.4,84.6,62.2,0,0,6.75,2,43.5,0.5163,HIGH
47,23,1013.4,64.8,0.2,84.9,29.8,0.2,92.8,1.88,60.7,51.7,76.0,1,3,15.65,1,55.1,0.6167,HIGH
59,26,1202.4,78.3,67.6,22.5,22.1,-7.8,3.1,8.83,967.8,56.4,96.9,0,0,5.85,0,20.7,0.3976,LOW
62,20,822.6,61.5,25.0,2.8,68.3,-4.8,76.9,18.47,927.3,85.9,84.3,0,0,5.84,0,32.3,0.3587,LOW
10,10,2325.0,49.6,74.6,3.8,92.0,0.7,92.0,11.2,118.4,87.0,8.6,0,2,5.1,0,43.2,0.4343,MEDIUM
68,37,2800.5,61.7,77.0,13.4,29.9,-16.8,39.4,7.23,529.5,80.2,21.2,0,1,7.09,1,42.0,0.5475,HIGH
22,32,1569.1,15.2,72.4,57.0,32.2,4.7,7.3,18.18,992.9,81.9,53.2,0,2,10.02,0,4.8,0.3402,LOW
91,40,1982.5,21.6,2.4,80.8,85.4,-53.0,80.5,7.83,852.6,88.0,25.8,1,3,9.19,0,81.9,0.4995,MEDIUM
84,35,2621.4,27.0,70.4,88.7,89.3,-4.9,84.3,10.23,715.1,11.4,1.4,1,0,11.56,0,45.3,0.5253,HIGH
112,14,2996.7,59.8,99.0,63.5,91.4,-3.6,33.6,2.42,22.5,29.3,75.5,0,0,15.09,1,36.4,0.3383,LOW
91,13,1898.5,44.2,24.3,40.3,29.3,0.0,51.9,14.77,68.4,97.6,35.8,0,0,11.67,0,24.7,0.2745,LOW
47,13,2685.9,24.4,27.4,15.5,12.0,-26.3,80.9,14.04,794.0,54.5,6.6,1,2,28.24,0,54.9,0.6833,HIGH
117,37,2739.5,88.3,81.4,40.1,44.0,-7.7,19.2,15.91,376.4,17.6,50.9,0,3,10.58,0,17.4,0.5349,HIGH
52,24,2405.6,37.4,16.0,33.2,29.6,-43.3,62.9,6.57,668.4,50.3,97.7,0,0,17.59,1,70.3,0.4517,MEDIUM
42,20,1463.7,44.6,66.1,87.0,88.4,-18.8,43.1,8.78,739.2,64.6,67.9,0,4,2.23,1,42.8,0.348,LOW
110,39,381.3,41.0,75.5,48.7,3.7,-33.5,17.4,3.45,422.2,82.8,15.9,0,1,11.56,0,51.1,0.3511,LOW
47,26,195.0,18.2,3.7,22.6,63.4,-19.2,83.1,19.29,143.4,81.2,51.4,0,1,9.11,0,43.9,0.3166,LOW
13,37,1510.0,73.2,55.4,28.9,90.6,-14.5,32.5,1.81,386.7,4.9,90.2,1,0,8.48,0,44.7,0.4452,MEDIUM
59,40,1558.8,44.8,57.6,13.6,97.7,-34.2,93.4,13.02,871.0,45.4,5.4,0,0,22.94,0,66.3,0.4945,MEDIUM
97,6,1311.0,1.6,30.3,91.9,65.0,-42.0,56.9,14.13,331.1,2.1,63.8,0,2,35.47,0,57.8,0.6328,HIGH
26,17,1769.3,96.4,87.6,5.0,95.0,-35.7,51.5,3.24,62.6,88.8,72.1,1,1,15.2,1,64.9,0.4322,MEDIUM
58,31,1723.7,81.6,16.3,1.3,7.6,-15.2,42.3,7.37,959.1,17.4,70.4,0,1,1.7,0,41.6,0.5888,HIGH
20,34,2534.3,72.4,36.4,18.3,35.9,-14.4,40.1,0.96,680.7,62.5,15.0,0,2,6.46,2,48.3,0.4895,MEDIUM
84,9,459.7,86.9,84.9,81.1,0.9,-10.5,81.8,11.18,540.9,57.1,90.7,0,2,2.65,0,47.3,0.3556,LOW
60,15,791.8,90.7,19.1,52.3,98.1,-47.4,67.8,19.9,829.1,62.6,32.2,1,1,11.33,0,58.3,0.4784,MEDIUM
43,24,2410.1,33.7,82.1,62.6,90.3,-5.9,77.4,8.65,411.2,56.3,5.2,0,2,13.84,1,45.6,0.4033,LOW
31,33,2566.3,61.1,7.9,35.8,2.8,-13.7,42.1,19.8,985.1,71.6,8.3,0,1,2.03,0,24.9,0.5107,MEDIUM
70,8,2985.2,60.9,48.9,6.9,1.8,-53.2,26.1,2.61,857.6,62.6,45.8,0,1,25.72,0,69.6,0.5032,MEDIUM
82,26,2637.8,26.7,7.5,85.6,36.7,-34.9,8.7,7.91,280.5,9.0,4.0,1,1,3.5,0,43.5,0.586,HIGH
114,14,2686.2,22.2,67.8,19.2,25.9,-27.0,77.7,18.05,371.0,36.7,78.0,1,0,13.37,1,49.3,0.4808,MEDIUM
55,12,1045.9,11.4,79.1,3.3,84.7,-33.4,41.5,17.55,275.7,54.7,86.6,0,0,25.34,0,41.9,0.3894,LOW
23,23,1294.7,65.9,85.0,57.3,16.0,-48.0,50.9,6.54,659.3,32.5,1.3,1,1,11.5,0,69.5,0.497,MEDIUM
101,19,914.0,78.1,98.1,8.3,79.1,-42.6,46.9,13.6,639.3,76.0,81.0,0,0,5.54,1,55.4,0.3835,LOW
78,27,1878.0,76.1,67.2,9.6,55.4,-53.5,43.1,17.73,522.5,31.8,98.1,1,1,5.26,1,56.8,0.55,HIGH
86,15,2825.6,31.6,76.9,80.0,37.7,-49.4,68.4,15.36,965.8,82.9,3.0,0,2,11.73,0,65.7,0.5404,HIGH
16,34,1132.2,20.5,50.6,49.2,14.6,-39.0,60.9,12.61,472.3,14.7,72.5,0,0,17.62,0,58.9,0.4843,MEDIUM
41,6,1737.5,45.4,91.3,24.2,99.8,-5.8,97.2,3.14,783.7,76.9,99.9,1,0,13.03,0,59.3,0.4527,MEDIUM
94,35,994.5,54.7,64.4,34.9,61.8,-23.4,13.9,1.55,658.1,18.3,79.7,0,2,5.16,0,44.9,0.5221,HIGH
101,5,633.9,91.9,88.4,72.9,43.9,-29.5,57.4,12.33,518.2,52.8,50.5,0,1,8.94,0,51.1,0.3474,LOW
55,31,706.3,87.5,23.5,6.6,37.1,-15.3,6.3,10.06,42.1,32.1,88.5,1,1,4.55,0,25.8,0.4362,MEDIUM
98,16,315.1,91.6,49.7,11.6,90.6,-22.5,80.8,4.84,657.5,63.7,70.8,0,0,4.5,0,63.6,0.2911,LOW
102,18,2855.5,85.0,73.0,61.6,82.1,-47.1,61.6,5.93,642.6,21.3,29.2,0,1,4.29,1,73.4,0.4177,LOW
49,4,1298.2,96.5,20.3,60.7,81.1,-41.6,42.8,7.9,124.9,79.5,22.4,0,3,7.45,2,60.4,0.4261,LOW
109,29,2527.2,46.5,21.1,97.2,61.6,-41.6,80.2,9.96,795.9,57.4,51.3,0,0,9.69,0,70.9,0.5479,HIGH
38,10,2091.8,4.7,97.8,37.5,88.8,-19.0,45.5,7.87,467.0,95.7,37.3,0,1,10.58,1,44.9,0.3398,LOW
32,28,697.0,8.4,43.5,6.5,29.9,-27.3,22.8,7.81,324.1,71.2,32.9,0,0,12.53,0,43.1,0.5972,HIGH
84,30,650.1,39.0,18.2,53.8,70.4,-31.7,47.3,2.4,824.0,60.7,17.8,0,1,5.42,0,61.6,0.4987,MEDIUM
78,35,2464.2,25.8,33.1,63.8,40.4,-21.6,7.1,17.33,343.4,82.9,84.5,1,2,9.85,0,21.5,0.2965,LOW
21,30,904.4,17.0,39.7,14.0,60.0,3.2,89.8,12.22,621.9,22.0,70.5,0,1,10.79,0,41.2,0.5579,HIGH
101,15,2752.9,95.3,62.3,55.3,99.8,-36.1,73.1,3.01,617.9,63.3,33.1,0,2,21.57,0,73.1,0.3592,LOW
28,31,549.2,19.5,92.3,19.8,98.5,-23.8,76.0,8.54,52.8,39.0,23.8,0,1,2.1,0,58.2,0.4068,LOW
98,34,2081.5,95.9,98.7,84.5,51.3,-26.2,87.4,8.39,422.8,74.4,12.8,0,0,2.78,1,64.2,0.2883,LOW
5,15,2471.3,76.1,65.2,83.5,57.4,-12.0,79.2,12.05,222.8,2.4,11.3,0,1,14.66,0,46.4,0.3642,LOW
97,8,820.5,64.1,70.0,43.0,89.7,-11.2,43.2,12.22,199.6,42.8,62.5,0,0,15.76,1,33.0,0.3959,LOW
96,36,937.2,67.6,32.2,96.7,98.6,-11.3,11.9,12.94,655.0,65.2,10.9,0,0,14.7,0,21.2,0.3289,LOW
95,9,2898.9,33.1,85.7,98.0,77.9,-42.9,37.3,13.99,11.4,46.1,96.0,0,3,14.59,0,51.8,0.4751,MEDIUM
82,25,904.1,64.6,21.8,12.9,6.5,-28.1,93.4,2.16,969.1,23.8,27.9,0,2,2.33,0,75.4,0.5836,HIGH
59,12,1375.4,18.7,10.6,36.8,32.3,-6.3,94.9,6.17,395.4,46.4,2.6,0,1,31.96,0,55.1,0.4753,MEDIUM
86,8,1382.7,93.8,97.3,60.0,89.7,-32.1,76.8,0.45,298.8,85.0,85.5,1,2,19.93,0,74.7,0.367,LOW
37,32,871.1,30.2,86.4,8.5,76.8,4.1,20.4,9.15,920.0,20.7,36.8,0,0,2.37,2,20.7,0.6488,HIGH
95,9,2361.0,25.5,30.4,38.3,74.2,-33.1,19.4,8.65,486.7,36.7,34.3,1,2,8.04,1,45.1,0.5535,HIGH
69,28,2349.8,71.1,67.5,26.1,66.8,-25.1,88.0,14.71,614.3,99.0,11.9,0,1,7.69,1,55.7,0.4357,MEDIUM
58,29,1228.2,65.6,46.7,95.2,41.5,-26.5,14.2,3.43,695.9,91.3,66.0,0,2,9.16,1,45.0,0.4154,LOW
63,6,2530.1,45.1,32.3,41.2,40.3,-29.0,58.4,12.67,871.4,3.4,35.9,0,2,6.93,0,50.7,0.5316,HIGH
70,10,757.3,63.2,28.7,76.3,80.9,-4.3,37.8,6.2,129.7,53.0,82.3,0,2,3.75,1,33.6,0.4879,MEDIUM
9,33,162.3,15.9,13.6,38.7,29.4,-45.7,30.2,7.7,81.7,6.5,63.1,0,0,10.94,0,59.2,0.5403,HIGH
21,22,1777.8,67.3,54.9,13.2,68.5,-20.9,67.7,14.41,993.7,92.4,88.0,0,0,22.53,0,45.9,0.4485,MEDIUM
33,8,2983.1,27.1,44.7,86.3,72.6,-17.9,96.0,1.52,8.9,44.2,62.3,0,2,6.76,1,69.7,0.4847,MEDIUM
18,40,260.1,27.3,51.2,0.0,84.5,-3.9,77.8,6.92,708.2,41.8,77.9,0,0,12.46,0,46.4,0.3822,LOW
55,13,742.8,16.2,21.5,5.6,32.0,-18.4,48.6,7.89,611.1,27.3,69.7,0,1,9.36,1,45.5,0.4774,MEDIUM
82,4,1628.9,33.2,93.9,36.4,74.2,2.6,44.1,14.34,552.6,56.9,46.3,0,1,14.59,0,22.5,0.3478,LOW
80,38,2458.3,33.1,63.9,68.7,10.6,-2.7,90.8,4.06,785.8,14.5,68.9,0,2,8.74,2,53.7,0.6425,HIGH
59,4,403.8,45.4,90.0,34.2,13.8,-34.1,57.8,18.95,992.5,79.9,66.4,0,0,5.96,0,46.3,0.3607,LOW
104,24,1276.4,19.0,10.9,6.6,41.7,-3.4,49.7,19.96,46.9,49.1,0.7,0,0,7.06,0,19.9,0.3825,LOW
70,40,2279.2,19.3,62.3,31.8,5.5,2.5,68.3,16.4,614.5,56.6,69.9,0,2,21.94,1,28.4,0.4854,MEDIUM
14,25,1208.9,54.2,84.9,24.5,94.8,-39.6,23.7,6.06,716.8,84.1,26.2,0,2,10.28,1,54.5,0.3203,LOW
93,25,688.2,12.9,33.1,0.5,90.2,-18.4,6.4,13.31,305.9,18.5,54.2,0,2,10.02,1,24.0,0.4065,LOW
71,18,707.2,68.9,19.5,53.5,4.9,-38.1,85.5,1.75,892.9,17.5,11.1,1,1,21.48,1,80.4,0.7912,HIGH
78,8,1318.6,94.4,26.5,11.7,83.8,-16.0,60.7,17.44,457.0,42.1,2.3,0,0,24.2,1,36.1,0.3863,LOW
70,25,1516.3,42.7,27.3,28.7,50.9,-49.4,16.5,10.37,164.5,78.6,1.5,0,0,0.92,0,53.7,0.4503,MEDIUM
69,37,2606.2,90.1,44.7,64.1,70.2,-10.9,29.8,3.61,854.4,5.9,15.8,0,0,2.84,0,38.8,0.4942,MEDIUM
15,7,1980.4,9.8,32.6,72.5,88.7,-29.8,99.0,6.62,942.9,79.5,2.0,0,2,17.36,0,73.0,0.5475,HIGH
69,36,2117.6,4.3,27.1,26.3,57.7,-19.8,63.4,16.03,99.5,50.1,13.2,0,0,10.64,0,41.6,0.4243,LOW
97,19,2951.5,72.1,64.9,32.9,11.6,-53.4,63.6,17.42,751.7,56.2,55.9,1,1,24.26,0,64.3,0.534,HIGH
40,23,1323.8,76.1,5.3,24.7,0.3,-13.3,7.2,10.44,215.0,56.4,40.0,0,0,2.11,3,24.1,0.4106,LOW
74,10,1299.6,84.3,34.0,95.7,49.7,-25.2,96.9,9.66,6.7,5.6,98.1,0,0,11.8,0,65.2,0.4741,MEDIUM
8,27,2781.5,5.7,69.0,19.1,94.9,-17.5,89.3,15.04,260.6,25.0,80.9,1,2,15.12,0,50.2,0.4604,MEDIUM
45,10,850.7,77.7,17.6,18.3,57.3,-36.1,54.8,16.54,854.9,75.5,14.7,0,0,7.79,0,49.8,0.4616,MEDIUM
55,14,2230.0,37.7,22.1,44.5,37.3,-46.3,30.9,15.32,141.2,41.2,41.7,0,0,16.68,1,50.3,0.4119,LOW
118,30,2300.5,30.3,20.1,18.9,3.1,-28.9,69.8,7.75,130.7,56.1,43.1,0,1,17.59,0,60.8,0.5269,HIGH
29,5,428.7,17.3,0.1,15.7,91.5,1.6,83.3,12.87,739.0,94.5,36.2,0,3,9.45,0,38.1,0.4288,MEDIUM
37,20,1484.5,99.6,47.4,9.6,32.7,-41.3,78.6,17.16,406.4,4.6,49.6,1,2,8.96,0,61.1,0.5254,HIGH
52,25,721.6,6.4,3.9,64.0,70.5,-14.4,97.7,3.12,148.5,45.0,67.0,0,1,18.79,0,65.8,0.4784,MEDIUM
120,8,678.3,82.7,27.3,61.2,69.4,-52.0,63.7,7.82,230.0,36.1,64.1,1,1,11.63,0,75.3,0.4232,LOW
103,14,1471.9,63.9,99.5,65.0,25.4,-11.9,32.1,1.23,794.6,10.6,35.7,0,1,14.4,0,43.4,0.3939,LOW
9,16,974.9,73.5,91.8,77.3,6.4,-40.7,49.8,8.24,623.3,95.1,70.5,1,2,11.59,0,61.7,0.4012,LOW
32,28,2418.8,71.2,21.5,32.6,38.5,-27.9,81.6,15.47,760.9,96.1,28.9,1,1,11.16,0,54.5,0.6598,HIGH
100,40,2736.7,85.8,31.0,91.8,31.7,-32.9,26.5,4.02,97.8,31.1,83.5,1,1,8.94,2,53.2,0.5518,HIGH
11,34,2437.8,18.4,46.4,73.3,70.0,-48.2,23.1,10.88,458.1,94.7,96.4,1,1,15.08,0,54.5,0.4965,MEDIUM
104,11,908.2,0.1,84.4,80.5,82.0,-34.3,72.5,0.83,797.1,3.5,29.5,0,1,5.02,0,74.3,0.6335,HIGH
37,4,931.3,59.9,80.3,72.1,22.2,-34.0,44.4,17.96,265.8,98.1,78.5,0,2,2.23,1,42.8,0.3108,LOW
111,5,876.0,35.4,12.6,35.8,52.8,-23.7,81.7,16.42,169.2,83.6,81.3,0,1,10.01,1,50.3,0.4294,MEDIUM
39,26,534.9,12.4,12.4,28.3,4.1,3.3,14.4,10.54,381.8,21.4,49.1,0,0,24.5,1,16.9,0.478,MEDIUM
55,9,2839.8,18.6,41.7,42.3,21.4,-26.8,33.6,14.15,333.4,60.0,8.8,0,1,11.65,0,38.6,0.4825,MEDIUM
81,12,1295.8,33.2,87.0,9.7,76.2,-0.1,26.8,2.17,185.5,79.8,78.6,0,2,8.32,0,31.7,0.3903,LOW
19,35,790.4,7.0,88.2,45.1,79.3,-27.3,69.8,16.92,953.9,31.9,40.7,0,0,7.5,0,48.1,0.5443,HIGH
69,36,2563.0,5.7,10.7,4.3,77.6,-48.5,75.9,14.33,483.1,35.4,20.8,0,1,7.11,0,68.9,0.5892,HIGH
63,35,1287.7,91.6,57.4,0.4,14.2,-41.2,45.6,2.49,608.1,62.9,62.7,1,2,0.42,3,67.8,0.6221,HIGH
95,13,250.1,31.2,15.6,93.1,55.1,-30.5,47.8,19.62,121.1,14.7,43.7,0,2,22.26,0,39.4,0.5924,HIGH
120,26,611.5,98.2,68.6,68.9,42.3,-35.5,13.2,0.55,610.0,11.8,8.8,1,2,6.54,2,54.8,0.5488,HIGH
82,26,1971.9,96.4,91.6,56.2,99.1,-3.1,70.2,12.61,555.3,25.0,98.4,0,3,10.15,2,36.1,0.5101,MEDIUM
52,10,2381.3,14.3,45.5,34.1,65.4,-14.3,99.2,3.52,931.9,74.1,24.5,1,1,7.94,1,65.7,0.5894,HIGH
52,24,751.2,71.5,8.3,57.1,93.5,-20.3,77.8,14.41,412.3,36.7,51.1,1,0,5.66,1,49.0,0.4563,MEDIUM
53,23,2764.6,60.1,57.9,89.2,14.5,-25.5,22.3,1.5,782.1,50.7,66.7,0,4,23.03,1,49.5,0.4491,MEDIUM
99,18,2575.3,69.1,40.9,65.2,45.1,-31.2,62.3,1.71,304.2,19.5,11.5,0,3,3.91,0,67.4,0.4601,MEDIUM
42,31,2567.9,9.6,81.1,60.2,77.2,-18.3,29.5,9.38,578.9,19.4,73.9,1,2,15.45,0,36.9,0.4718,MEDIUM
24,29,798.8,18.9,34.0,46.0,36.8,-47.5,3.0,19.88,927.0,65.0,64.8,0,1,2.59,1,35.7,0.441,MEDIUM
43,23,294.0,7.7,87.5,34.6,63.3,-45.2,18.0,5.6,625.1,10.8,49.4,1,0,9.0,0,57.2,0.5072,MEDIUM
7,30,2622.2,60.4,27.4,69.9,51.2,-36.8,10.3,12.29,711.2,66.8,52.8,1,3,20.9,0,40.0,0.587,HIGH
17,32,1021.5,98.7,15.8,98.1,99.2,-44.7,19.6,10.42,876.0,40.1,95.5,0,0,6.87,1,51.3,0.4457,MEDIUM
15,24,1913.9,67.2,30.6,42.5,17.4,-14.4,79.6,16.86,925.4,67.1,91.1,1,4,14.5,0,42.3,0.5414,HIGH
94,13,2315.9,71.1,3.5,39.2,93.5,-53.5,29.3,5.84,208.3,38.2,11.2,1,1,6.62,1,66.9,0.4604,MEDIUM
88,32,515.6,98.5,28.1,42.8,40.2,-45.4,75.7,11.14,195.8,84.6,36.9,1,2,7.77,1,70.6,0.4355,MEDIUM
85,30,2375.4,67.8,66.0,42.6,46.8,-0.8,94.9,19.02,550.5,5.6,51.7,0,2,16.91,0,35.0,0.3558,LOW
58,40,2824.8,4.0,14.2,99.1,52.9,4.9,57.4,6.72,995.5,89.3,92.0,0,0,14.73,1,36.7,0.5305,HIGH
88,9,2225.9,86.7,11.1,70.7,26.5,-25.7,48.5,8.84,490.2,26.9,81.7,0,3,24.68,1,49.6,0.488,MEDIUM
23,19,1407.5,36.5,13.2,35.9,96.4,-25.3,75.0,17.79,330.9,4.3,38.6,0,1,6.85,1,47.4,0.3934,LOW
109,38,2648.5,0.4,7.8,37.2,91.1,-8.6,9.7,6.72,537.3,56.2,88.6,1,1,12.83,1,26.2,0.5235,HIGH
63,23,1653.3,50.7,87.5,43.1,97.3,-52.8,42.8,7.68,64.4,22.4,37.8,1,1,10.59,1,68.8,0.5002,MEDIUM
113,38,2272.6,93.7,94.4,3.7,99.7,-29.4,49.9,6.15,177.2,45.9,27.1,0,0,13.09,1,56.2,0.4449,MEDIUM
22,4,2488.4,25.7,4.7,52.8,67.0,-49.0,83.1,16.21,148.9,80.2,61.0,0,1,19.82,0,69.5,0.4573,MEDIUM
62,5,2285.7,49.2,76.0,81.1,45.2,-30.9,81.4,18.61,27.9,79.2,35.6,0,0,5.9,1,52.7,0.3871,LOW
85,33,970.4,17.4,73.7,66.1,85.1,4.0,84.8,12.66,722.2,60.0,62.2,1,0,12.47,1,38.9,0.4674,MEDIUM
62,17,485.9,5.8,99.7,19.8,2.4,-9.8,69.8,12.51,325.5,97.8,41.0,0,3,22.85,0,40.9,0.3756,LOW
